elapsed_s,phase,ac_status,battery_error,raw_rate,discharge_w,voltage_v,cpu_busy_percent,boost_error,boost,hwinfo_error,query_ms
0.000008,baseline,0,0,-6375,6.375000,15.899000,0.000000,0,0,2,1.831200
0.501979,baseline,0,0,-6375,6.375000,15.899000,4.036458,0,0,2,1.548600
1.004967,baseline,0,0,-6540,6.540000,15.913000,1.686122,0,0,2,2.272400
1.510493,baseline,0,0,-6540,6.540000,15.913000,2.193548,0,0,2,2.626600
2.000358,baseline,0,0,-6540,6.540000,15.913000,2.390438,0,0,2,1.257200
2.505330,baseline,0,0,-6497,6.497000,15.924000,2.307692,0,0,2,2.337800
3.008356,baseline,0,0,-6497,6.497000,15.924000,1.574803,0,0,2,1.508200
3.511491,baseline,0,0,-6465,6.465000,15.923000,1.923077,0,0,2,2.402300
4.014229,baseline,0,0,-6465,6.465000,15.923000,2.080624,0,0,2,3.334500
4.509782,baseline,0,0,-6465,6.465000,15.923000,3.137255,0,0,2,1.924300
5.015179,baseline,0,0,-6385,6.385000,15.922000,1.560468,0,0,2,3.745200
5.510514,baseline,0,0,-6385,6.385000,15.922000,2.096986,0,0,2,1.195700
6.012179,baseline,0,0,-6385,6.385000,15.922000,1.759134,0,0,2,1.251900
6.511752,baseline,0,0,-6336,6.336000,15.919000,2.038217,0,0,2,3.138300
7.015979,baseline,0,0,-6336,6.336000,15.919000,0.888325,0,0,2,1.390600
7.503649,baseline,0,0,-6336,6.336000,15.919000,1.610738,0,0,2,1.366300
8.010214,baseline,0,0,-6307,6.307000,15.928000,1.820546,0,0,2,1.908300
8.505376,baseline,0,0,-6307,6.307000,15.928000,2.503294,0,0,2,1.353100
9.011897,baseline,0,0,-6259,6.259000,15.925000,1.544402,0,0,2,2.240900
9.503140,baseline,0,0,-6259,6.259000,15.925000,1.953125,0,0,2,1.288100
10.007267,baseline,0,0,-6259,6.259000,15.925000,8.258065,0,0,2,0.997700
10.504974,baseline,0,0,-6208,6.208000,15.919000,7.049608,0,0,2,1.662000
11.006207,baseline,0,0,-6208,6.208000,15.919000,8.706786,0,0,2,0.996700
11.503779,baseline,0,0,-6208,6.208000,15.919000,7.773386,0,0,2,1.421300
12.007844,baseline,0,0,-6389,6.389000,15.892000,4.603581,0,0,2,2.924600
12.512731,baseline,0,0,-6389,6.389000,15.892000,2.216428,0,0,2,1.561700
13.015499,baseline,0,0,-6445,6.445000,15.913000,1.560468,0,0,2,2.714600
13.511134,baseline,0,0,-6445,6.445000,15.913000,1.623816,0,0,2,1.223100
14.014365,baseline,0,0,-6445,6.445000,15.913000,1.130653,0,0,2,1.286800
14.508367,baseline,0,0,-6388,6.388000,15.930000,1.317523,0,0,2,2.276100
15.014021,baseline,0,0,-6388,6.388000,15.930000,2.706186,0,0,2,1.791100
15.513666,baseline,0,0,-6320,6.320000,15.919000,1.728723,0,0,2,2.066900
16.002002,baseline,0,0,-6320,6.320000,15.919000,1.585205,0,0,2,1.356300
16.501107,baseline,0,0,-6320,6.320000,15.919000,1.040312,0,0,2,1.476700
17.000557,baseline,0,0,-6227,6.227000,15.927000,1.945525,0,0,2,2.245700
17.505530,baseline,0,0,-6227,6.227000,15.927000,1.282051,0,0,2,1.486300
18.008515,baseline,0,0,-6181,6.181000,15.931000,1.034929,0,0,2,3.027900
18.503449,baseline,0,0,-6181,6.181000,15.931000,2.334630,0,0,2,4.677200
19.003922,baseline,0,0,-6181,6.181000,15.931000,1.989390,0,0,2,1.758700
19.512720,baseline,0,0,-6176,6.176000,15.917000,2.038217,0,0,2,1.765600
19.999979,baseline,0,0,-6176,6.176000,15.917000,1.204819,0,0,2,1.846600
20.508292,baseline,0,0,-6150,6.150000,15.932000,1.540436,0,0,2,2.099800
21.010960,baseline,0,0,-6150,6.150000,15.932000,2.310655,0,0,2,1.697300
21.507720,baseline,0,0,-6150,6.150000,15.932000,1.061008,0,0,2,2.717300
22.011600,baseline,0,0,-6100,6.100000,15.928000,1.283697,0,0,2,2.197500
22.511739,baseline,0,0,-6100,6.100000,15.928000,1.794872,0,0,2,1.464000
23.015478,baseline,0,0,-6053,6.053000,15.928000,1.958225,0,0,2,2.057900
23.514434,baseline,0,0,-6053,6.053000,15.928000,1.181102,0,0,2,1.809100
24.002533,baseline,0,0,-6053,6.053000,15.928000,1.600000,0,0,2,3.058800
24.502126,baseline,0,0,-5975,5.975000,15.933000,1.576873,0,0,2,3.788900
